id	title	abstract	labels
959	付丧神古道具店	浅草的百年古道具店荻之屋里住着一群付丧神，与一位貌似阎王的店主喜藏。他们吵架斗嘴却也相安无事的平凡日常，却因为出手阔绰的神秘男子多闻上门而崩解。付丧神一个个被带走，喜藏却无法抵抗，眼睁睁看着这些妖怪的生命一点点流失……同时，浅草附近出现大规模妖怪作乱，外表色彩浓厚艳丽、专向女人下手。画师一下笔绘就，妖怪便跃于纸上，其实他画的是内心的恐惧、懦弱与思慕，没想到这些栩栩如生的妖怪竟让原本的妖怪世界也不得安生，指派熟识人类世界的前猫妖小春下凡探案。天狗、河童、砚台精、猫又、恶鬼，与一个鬼见愁人类喜藏，正摩拳擦掌面对妖怪袭击的大动乱！	
960	黄金之王 白银之王	薰衣——是竖起尾羽的白银雷鸟，旺厦一族之首。稆——是闪耀金黄芒穗的芒草，凤龝一族之王。百余年来，凤龝和旺厦两大氏族不断争夺翠国霸权，流淌于两族血液中的，是浓厚的「仇恨」……而统御两族的首领——薰衣和稆，他们却决定迈向前人未曾想过的崭新道路，同时也是困难到几近于不可能的狭窄荆棘之路——！	
961	进击的巨人 before the fall	无人知晓「那个」究竟是从何时来的，以及到底为了何种目的而存在。只是一再遭到捕食的人类，就只能躲在高墙内侧求生存……在工房任职的主角·安海尔，负责开发兵器，好让调查高墙外侧情况的调查军团免于「巨人」的伤害。但没人知道「巨人」的弱点是什么，至今也尚未出现成功击杀他们的人物。跨越诸多尸骸的安海尔，便着手开发唯一能够对抗巨人的《装置》。然而保守派却主张不需要特地设法对抗「巨人」，导致高层作出了解散调查的决定……难道人类就只能过着对「巨人」束手无策，成天提心吊胆的生活吗！？超人气动漫「进击的巨人」前传，终于以原创小说的形式登场！	奇幻 冒险 格斗 
962	某僵尸少女的灾难	天然呆大小姐+楚楚可怜（？）的侍女为了找回遭窃的宝物大开杀戒！？欧芙洛希妮大小姐与楚楚可怜的侍女，也就是我艾玛·V。当我们从百年的沉睡当中醒来时，发现自己身在异国日本的大学校园的建筑里。为了取回被蠢学生偷走的「秘石」，我们必须吧那群人一个不剩全部杀光。话虽如此，大小姐丝毫没有半点干劲，而且又很胆小……请拿出「不死怪物」该有的模样，把那些人杀光吧！我？危险的肉体劳动不是我的工作，我只是个配角啊！	校园 奇幻 
963	女高中生店长的便利商店一点也不好玩	巧克力商店筱町杜鹃之丘店。女高中生支仓小桃因为某种原因，成为这间便利商店的店长。暗恋著她的同班同学，也就是我，由于第二学期即将转学，为了这个暑假该如何度过，下了一个重大的决定——就是穿女装去打工！这让我有点兴奋。，不不不，老实说——是有些心痒难耐！勇夺第五届小学馆轻小说大赏<评审特别赏>的明坂缀令人期待的新作！	搞笑 
964	时之恶魔和三篇物语	「在拉奇回来以前，我绝对不会哭的喔。」目送许下婚约的拉奇启程前往外界，等待依儿可的是残酷的命运与『时之恶魔』。从恶魔手中取得据说能够穿越时空的『时之砂』，依儿可的决断是……因『时之恶魔』而面临命运分歧的三对男女，交织出「穿越时空」的新正统奇幻故事。	恋爱 冒险 奇幻 
965	美少女幽灵的恋爱效应	萨摩八平被『恋爱喜剧现象』诅咒了——会引发大概会被说「那不是诅咒，是祝福！」、稍微有点色色的事件。元凶（？）似乎是依附着八平的幽灵——香月。自从八平遇见了其他人看不见也听不到的香月以来，生活就因恋爱喜剧里经常出现的情节而鸡飞狗跳。尽管如此，八平仍不曾对遇见香月感到后悔。至于原因，是因为香月是个美少女！就算被当成和看不见的女孩子说话的变态男，就算被病娇同学穷追不舍，即便被美人姊姊跟踪，纵使触摸不到香月！「就算这样，我还是对你……！」专情又正直的八平，展开对抗恋爱喜剧的生活！	爱情 搞笑 神鬼 
966	星空的记忆AS	星空的记忆后日谈，原作是2009年的某GALGAME、当年的黑马……这本则是C81同人志（但作者和插画家分别是原作游戏的剧本家和原画家），这本是原作游戏的后日谈，因此没碰过原作的可能看不懂……	
967	我与她的绝对领域	甫升上高中的我所一见钟情的黑发少女──观田明日香学姊竟是被视为「告知绝对无从回避之不祥事态的魔女」而令全校师生感到畏惧的存在。得知学姊怀着「自己做过的恶梦百分之百都会成真」的烦恼之后，我不顾身为我表姊，同时也是学生会长的沙耶姊之劝阻，毅然决定为了改变学姊的未来而展开行动！然而数不清的偶然事态却一再阻止我……我与学姊的命运究竟将何去何从呢！？	爱情 校园 
968	东云侑子系列	「我究竟，想和东云成为何种关系呢......」对任何事都提不起劲、漠不关心地过着每一天的高中生三并英太，只因「好像很轻松」的理由便选择担任图书委员。面对同为委员的东云侑子那毫无热度的冷静情绪，英太始终觉得与自己的空虚感颇为相似，但在偶然发现了她的秘密后，英太才理解到东云与自己其实截然不同。然而，由于这个秘密缩短了两人之间的距离，理应丧失的情感似乎再度充塞胸口……「2013这本轻小说最厉害！」TOP8，「书店店员最爱轻小说大赏」TOP4！早熟的少年少女携手共谱──焦虑又苦涩的青春爱情故事。	恋爱 校园 
969	少女大神!	深受非人类喜爱的国中男生，要继承衣钵斩妖除魔？轻小说新人奖优秀奖作品，欢乐开幕！田中春男是个沉迷美少女恋爱模拟游戏的国二生，身为晒衣竿算命师的奶奶在过世前留下遗书，预言他将会「深受人类以外的女性爱慕」。某天，以凶暴闻名的杜宾犬鎌子忽然亲近他，连收藏的公仔艾莉雅丝也突然开口跟他表白。接着，春男在当地祭典中偶遇同班的少根筋女孩──小鸟儿，获邀观赏她在话剧社的表演。就在他以为终于可以挥别与恋爱无缘的人生时，当地流传的离奇「地方都市传说」似乎真的发生了……	搞笑 神鬼 校园 
970	SHE MUST DIE 她，唯有一死	「矢口，如果人家会毁灭这个世界，你会怎么办？」在超能力普遍存在的世界，一所国中闯入一群自称『普通人保护团体』的恐怖份子。他们穿著一身军装，头带幪面黑帽，手中的步枪毫不留情地射向起身反抗的国中生。然而，当其中有人机警地封住了恐怖份子手中的武器，对方却缓缓举起手，放出了强大的念动力——死亡之枪，手指射出一道红光打穿了其中一名国中男生的心脏……为什么一个拥有美丽外表而令人为之著迷的国中女生非死不可？一场超能力对决的悬疑故事之中你会找到一个惊悚的答案。	异能 格斗 校园 
971	境界调停人	为了见父亲一面，高中生贤斗来到了阿根廷。原本平凡无奇的人生在遇到了美少年八束勋之后，发生了意想不到的大转变。那个世界与这个世界交集的境界彼端，居然是非人之物所居住的世界——而自己似乎是处理交界处纷争的「调停人」候补……日本第四届C★NOVELS大赏特别得奖作。	奇幻 异世界 
972	二四零九层的她	这是一个【塔】形的世界，由无数的阶层相连而成。每个阶层都由神的代理机器安特罗伯修卡管理。运营着阶层世界的安特罗伯修卡们都被给予了一个命题，要创造出一个让居住在阶层的人们【幸福】生活的世界。但经过了久远的时间后，很多安特罗伯修卡都出现了错乱……。少年·萨德利与旅伴青蛙一起穿行于因【幸福】而错乱的世界中，他们以海为目标朝塔的下方前行，只为了实现曾与「她」所做的一个约定。温柔而残酷的，神与世界的故事。	冒险 奇幻 异世界 
973	降临于我与她之夜	清梦骑人相貌、成绩、运动各方面都普通得不能再普通，15年间一直扮演着这样一个看上去绝对平凡的少年。不过，他这虚伪的人生，在那天一去不返。他被卷进了一群自称是<魔乖术师>的魔法使们的战斗中。在毫发之际被魔乖术师的少女救下的那夜，与那位少女，佑露米露美·修特雷恩贝鲁古的相遇，强烈地动摇着他曾经被封印的记忆。感知到黑暗世界的存在，自身某部分像是被唤醒一般，骑士毅然踏足这战场……<魔女们的狂宴>。等待着骑士的是天国，还是说是……。魔女乘着美丽的月色起舞，激动人心的魔幻剧开幕！	魔法 冒险 
974	东京爬树侦探	进入森林里之后，以前看不到的景色都能看见了。中里翔平，三十五岁，单身，离开让他理想幻灭的旅行社工作，回到儿时的探险乐园「阿婆森林」当管理员。他盖起树屋，准备在这座东京高级地段的杂树林里，优哉游哉地清闲度日。然而一个古灵精怪的小女孩出现，让他对森林的迷人世界开了眼界。他见到了旧时未曾发现的风景，探索了自己的时空胶囊，也在心中开始栽植一株株充满热情、勇气与关怀自然的树种……	侦探 奇幻 
975	转吧！企鹅罐	在没有「父母」的家庭里，高仓三兄妹极力维持「家族」的形状，直到措手不及的「死亡」，和有代价的「奇迹」找上他们——患有绝症的妹妹阳球过世了，大哥冠叶和二哥晶马悲痛不已，没想到她突然死而复生，更摇身一变成为口气粗鲁、颐指气使的陌生女子。头戴着企鹅帽的陌生阳球胁迫兄弟找出「企鹅罐」，否则妹妹会再度死亡。为了妹妹，高仓兄弟赴汤蹈火在所不辞，但一路命运多舛。他们渐渐发现，想要企鹅罐的，不只有他们。藏在屋子底下的跟踪狂少女、形迹可疑的歌剧团首席演员、痛失所爱的青年、用高尔夫球当子弹的千金小姐、以及，守护不存在的图书馆的神秘管理员……他们的人生因为企鹅罐而交错在一起。但是——企鹅罐到底是什么？只是想让妹妹活下去而已！没时间了，现在要夺回我们的幸福，用尽手段。	
976	废柴一看就上手的「镰足同学式」受欢迎入门	「中野太一同学，废柴天王，希望你能攻略曾我野三姊妹哟——换句话说，我们希望你和三姊妹的其中一人展开恋爱关系。正当我一如往常跟着好友在屋顶踢足球时，却遇到来自未来的镰足同学。说什么「要我去攻略曾我野三姊妹，不然世界就会毁灭」……你，是魔鬼终结者吗！不过，要我谈恋爱还是算了吧，很要命耶，而且攻略目标之一还是本校的No.1美少女。嗯？「失败了还可以回到纪录点重新开始」？……你是哆○A梦吗！既然如此只好挑战看看啦，毕竟「即使是废柴，也想变得受欢迎啊」！然而，我才一开口搭讪就被宣告GAMEOVER……?史上最弱的废柴主角，「脱•残念系恋爱喜剧」堂堂开始！	搞笑 恋爱 校园 后宫 
977	英雄传说 零之轨迹 四人的命运	超人气《英雄传说　零之轨迹》《英雄传说　碧之轨迹》]日本Falcom官方外传小说登场！笼罩于阴谋暗云中的克洛斯贝尔自治州，四名各自怀着不同信念的年轻人投身其中。罗伊德的执著。艾莉的决断。缇欧的无助。兰迪的迷惘。人们会在烦恼中挣扎并采取行动，于是他们来到了这里。当四人的命运交织于克洛斯贝尔，英雄的传说开始了——	冒险 奇幻 恋爱 异世界 
978	弹丸论破Dangan Ronpa∕Zero	基于「才能才是人类的希望」这一理念，聚集了各种《超高校级》的才能，私立希望之峰学园发生了学园史上最大最恶的事件……。向着不断失去记忆的女高中生·音无凉子与《超高校级神经学者》松田夜助迫近而来的「危机」与「绝望」将会如何――！？让所有悬疑爱好者为之沸腾的游戏杰作「弹丸论破」闪耀的「前日谭」，由担当原作剧本的小高和刚亲自小说化。最棒的爆炸，在此开始——！	侦探 校园 
979	我的校园生活才正要开始！	拥有无谓丰富才华（除了读书）的高桥因为个性孤傲而藐视王道高中的校园生活，因此换来了孤零零一人升上二年级的下场。但这样的他却遇上了一个千载难逢的机会。完美无缺（除了性格）的美少女，佐藤在此时出现，她为了能当上学生会长而要求高桥善用他的才能暗中活动。高桥因此而得到了一个为此特地成立的冒牌社团「高桥社」，并一面支援著佐藤一面下定了决心，决定夺回他真正的校园生活。无关爱情也无关友情的失序校园喜剧就此展开！	搞笑 校园 
980	守护者系列	一段「水之守护者」的百年轮回传说交织出壮阔的冒险奇幻物语！这是一个普通世界「撒古」与看不见的「纳由古」同时并行的世界。潜居在水底深处，影响两个世界的精灵百年产卵一次，且必须寄宿在「撒古」人类身上，假如精灵无法平安孵化，灾难将会降临，造成民不聊生、生灵涂炭。又到了百年一度精灵产卵之际，新的「精灵守护者」掌握着「撒古」世界的命运。新悠果王国年幼的恰克慕皇子，正是背负此不可思议命运之人，他将成为百年一度降临世间的「精灵守护者」。来自亢帕尔王国的帕尔莎，为了实现自己的誓言，孤独地流浪着。当她旅行至新悠果王国时，无意间拯救了差点溺毙的二皇子恰克慕，并受二皇妃的请求，成为恰克慕皇子的保镳。护卫其不受来自人类，甚至「食卵者」精灵拉卢卡的追杀。历经磨难、坚毅果敢的帕尔莎与备受呵护、纯真无邪的恰克慕，游走于两个世界，共同找寻生命的意义！	科幻 
981	这里是幸福安心委员会	被海水三面环绕的「水畔公园市国」，是由完美人工智能女王「赛伦」所统治的国家。赛伦派遣出自己的分身「温蒂妮」与由市国民中选拔而出的菁英集团「幸福安心委员会」，让这些人监视并统整市国民，且以「幸福度100％」国家为目标，不断地歌唱着——	幻想 治愈 
982	四百二十连败女孩	无可奈何的学园告白巡回之旅，正式展开！「圣仙杜瑞拉学园」──在这个超绝美少女云集的圣域里，石蕗春以稀少的男子之姿成功考进这所学校。但是，才刚入学就惨遭蔑称「咬蛲虫的虫」，他的青春陷入一片黑暗！在这样的日子里，某一天，春邂逅了美丽的妖精。她，是学园里最凶恶的美少女──毒空木美也子。春与她的相遇，改变了春的校园生活，是的，从一片黑暗──堕入地狱！！	校园 恋爱 搞笑 
983	魔女死之屋	我过世的母亲真是个绝世美女。母亲的身材高挑，但绝对不会太高，小巧的脸，当她独自站着的时候，总让人有一种鹤立鸡群的感觉。修长的手指将她的手衬托得非常纤细，肌肤像雪一样洁白，一头富有光泽的长发，一旦松开，就会像瀑布一样洒落在地。母亲有一双细长的眼睛，眼眸黝黑而深邃，看着这对眼眸，很久很久以前，我和妈妈、阿婆、阿姐四个人，生活在高高的石墙围起的大房子里。家里很少有没有客人造访的日子。阿婆告诉我，那些客人是妈妈的『崇拜者』。某一年的春天，妈妈被枪打死了。我常常梦见案发当天的事。我听到男人说「因为她是魔女。魔女就注定要用火刑伺候。」突然，我感受到自己手上握着冰冷而坚硬的手枪……	
984	冰境的艾玛莉莉丝	冰河期的世界，一切都被封闭在冰下。人类沉眠于名为「白雪公主」的冷冻睡眠设施之中。守护设施的机器人组成了一个小村落，长年来，在地底过着孜孜矻矻的日子。副村长是一位少女机器人，她名叫艾玛莉莉丝。因崩塌事故造成了「白雪公主」的损伤，加上村人们的零件年年老旧破损需要维修，使艾玛莉莉丝日日劳心劳力。这一切——都是为了有朝一日能够再次与「人类」一起生活。然而某日，村长的一句话却令艾玛莉莉丝与伙伴们为之颤栗。「——人类应该灭亡。」艾玛莉莉丝和大家最后会做出什么样的抉择——？描绘机械们「生存之道」的感人故事。	科幻 
985	胚胎奇谭	文库注:本书作者山白朝子是乙一另一个笔名，为便于查找同一作者作品，文库将作者名标记为乙一。只要踏上旅途就必定迷路！跟着和泉蜡庵去旅行，这一路上所见，究竟是人间还是地狱？是幻境还是魔境？「唉呀，怎么又迷路了？」本来一个小时就能走到的地方，最后居然花上数个月；原本预计一个星期才能抵达的村落，没想到下一秒就在眼前──跟著路痴旅游作家和泉蜡庵旅行，就是会有这种困扰。但是为了发掘罕为人知的景点，他的脚步永远不会停止。就这样，他一下子来到鬼魂群聚的温泉，一下子来到食人的村落，而在你不注意的时候，他又迈开飘忽的步伐，前往另一个时空……	
986	少女禁区	15岁的「我」的主人，是位有着数百年一遇的诅咒才能的傲慢美少女。「你就当我的玩具。到死为止都来取悦我吧」有着弑亲传闻的少女，在他的人偶上钉上了钉子，施加了各种诅咒，将少年当作玩具玩弄……！？跨越了死亡的概念束缚「我」的是——。收录了满溢悲伤沉痛，秀逸的两篇作品。以娇艳的感性描绘的死亡与少女们的故事。第17届日本恐怖小说大赏短篇赏获奖。	
987	影法师	才华横溢、剑术高超，前途不可限量的男人为何在落魄潦倒中死去。从下级武士直至登上笔头国家老地位的勘一追寻竹马之友彦四郎的踪迹。二十二年前，在改变二人命运的事件中，武艺强悍的他如何会被砍中后背——男人的信念便隐藏在真相中。	
988	火之国、风之国物语	血沫飞散。12岁地少年在那时，身处真正的战场——。心跳加快，两腿战战。自己是无力的——。但是，只有那个少女必须保护。只有那个连接着未来的生命必须保护。于是，少年——阿莱斯决定了。为了守护，和谜之精灵交换了契约……。「森林和麦穗之国」贝尔赛尔王国中发生了动乱。为了平定动乱，阿莱斯决定作为骑士站起来。剑之才比幼年之时更加被人认可的他，有一个秘密——。宏大的历史波澜在这里汇合，壮大的历史绘卷在这里展开！	魔法 奇幻 战争 
989	物质幽灵	「快起来，萤！已经是早上了！」在可爱而又充满活力的声音中，式见萤又开始了一天的生活。在枕边将他摇醒的是一位超绝美少女，原本以为这是甜~蜜的同居生活，但同居人的身份居然是幽灵。外表普通的高中生式见萤，因为一次交通事故获得了「可以将以自己为中心半径2米以内幽灵实体化」的特殊能力。其结果导致被丧失记忆的浮游灵女孩小幽「缠住」，平时漂浮不定的小幽只有在萤的身边才能拥有像普通女孩一样的体温和触感。再加上相貌美丽但性格粗暴的学姐真仪瑠纱鸟和同班同学的巫女神无铃音，被这些女孩子们包围着，式见萤喧闹的日常生活拉开了帷幕。	神鬼 搞笑 校园 
990	犬附少女	因饱受欺凌而对同学萌生杀意的少女，决定使用蛊术来杀死她们。蛊术，那是一种残忍的咒术，需要活物献祭……本书以暗潮涌动的女子高中为舞台，叙述了被犬神附身的少女楠濑步在校园中经历的怪异故事。	神鬼 侦探 
991	名称未设定	二十一世纪初。那时的人类还在发展中阶段。气象控制装置还在研发阶段，街道没有被分子膜所覆盖。因此，空气之中浮游着数百万种微生物，就连发明能量体的必要性都还没引起世人的重视吧。据统计，汉堡包和可乐颇受亲睐。人类的总体平均寿命不满七十年，生存于世界的大多数人都是不幸的，都是一副死鱼一样眼神。这个故事讲述的就是这个时代的人们。——也是一个<游戏>的故事。	科幻 校园 
992	放学后的悠闲时光	池田十胜在小学、国中时期，家都住在学校附近，因此放学回家的时候，总是没办法和同学聊天打屁，内心感到非常寂寞。所以十胜念高中的时候，刻意到比较远的高中唸书。高中开学典礼结束后，他在百货公司遇见了爱负面思考的气质美女千岁、聒噪的巨乳小蛮腰美少女丹下，以及大胃王美少女摄影师前方，三女一男结伴享受起放学后的悠闲时光。	校园 后宫 
993	于夏月之海轻语的咒文	修一是在一座名为梦久岛的岛屿上居住的高中二年级学生。尽管很清楚自己无法融入学校生活，但还是戴上「能乐面具」故作「平凡」地和朋友一起生活着。在暑假开始的一天，修一在海港邂逅一名不忌惮于他人目光哭泣着眺望着大海的女性。在梦久岛，存在着「在海边诵念‘咒文’的话，就可以被带领去真正属于自己容身之所」这样的传闻。为了确认这个传闻，她来到这座岛上。通过与她的邂逅，修一戴着「能乐面具」的日常生活开始发生变化。然后——。围绕「咒文」的４个人物编织而成的励志短篇系列故事。	
994	在那个夏天等待	暑假即将来临，就读高中一年级的雾岛海人，正与同学们计划拍电影。「真想做点什么。」「虽然具体说不上来，就是想做点什么。」就在这样的某一天，红发少女贵月一歌转学到本校三年级。不知道为什么，一歌学姊的身影一直在海人的心中徘徊不去。当同伴对学姊提出一起拍电影的想法时，「好呀。」学姊二话不说就答应了。回家的路上，海人又再度遇见学姊。没有地方可安身的学姊，在阴错阳差之下，决定暂时寄住在海人的家里，但是……超人气电视动画众所期待的小说版！那个夏天的回忆，将成为我们的永远──	恋爱 校园 科幻 
995	源氏物语	我名叫紫姬，母亲大人生下我之后就过世了，现在我与外祖母大人一起生活。我的愿望，是希望外祖母大人的病可以赶快康复，还有，我想再次见到那个人。他非常俊美、仿佛全身闪耀着光芒，只要见过一眼就无法忘怀，可是，却又虚幻得像是转瞬就会消失……千年以来最受日本人喜爱的动人故事，将以全新的面貌重现。	
996	我被女生倒追，惹妹妹生气了？	这是一个「灵」存在的世界。一个很爱妹妹的高中男生一之濑悠斗跟妹妹亚梦相依为命，他们因为某场意外的关系变得看得见灵，是很稀有的存在，不过他们除了运用这个能力驱逐恶灵之外，过著非常普通的生活。然而有一天，一名持著火焰之剑的少女除灵师樱丘绯夜梨出现在他们面前，她突然向悠斗告白……？「我、我、让你、当、当我男朋友，我、我们限期交往吧？」「不、不要，你、你跟我哥不、不配！」──妹妹反击！日本人气轻小说作家＆插画家，联手推出淡淡哀愁又爱意十足的爱情故事，开幕！	神鬼 恋爱 校园 搞笑 
997	白银的救世机	「回应我，杰斯特马克！化我的意志为力量，带我们走向胜利之路吧！」在这个受到突然出现的谜样生命体——XENO所支配的世界，人类藉着进化为不具感情的生物──杰诺人，才得以躲过绝灭的命运。在这当中，各方面都不如人的杰诺人少年——艾尔兹，在一场决定自己今后是否能继续存活的生存测验中，不小心发现了从冷冻睡眠中醒来的旧人类少女——那雪与救世兵器『杰斯特马克』，从此被卷入一场足以改变整个世界的大战……《──时候到了。打开『白银新生』之门吧──》	冒险 科幻 
998	梦日记 你的梦中，我已不在。	「ゆめにっき」（梦日记）是ききやま使用RPGMaker2003制作的免费游戏，是一个在非常黑暗的气氛下的梦中世界（设定）奔走的游戏。「ProjectYumenikki」在得到游戏原作者授权之后，由日日日（あきら）执笔改编成小说，于2013年8月28日发售。日日日在访谈中表示，游戏原作并不存在「公式正解」，小说中的剧情为他个人对游戏的解读。	
999	草祭	旅人走进一块土地，钻过桥下沿着水渠爬上石阶，眼前突然出现一片开阔的陌生原野，在那里，—名逐渐幻化成兽的男孩，与被他杀死的母亲，乘着远古的风，正要前往辽阔的世界。旅人继续往前，散发古意的木造老房子栉比鳞次，瓦片屋顶上像猴子又像狒狒的东西，突然耳语起来：有一桩高中女生的霸凌事件正在秘密进行，得想想办法才行。在夏日的蝉声中，旅人被神秘的气氛诱使，沿着铁路走进森林。那里有一栋民房，他在半掩的门扉里，看见为父母问题所恼的女孩，正在进行「解苦」。这地方真是奇妙啊！旅人边想着边再度穿梭。他发现一名男子倚着树，和一头小熊——起睡午觉。旅人唤醒男子询问：「这地方叫什么名字？」男子抬头应了—句：「景致优美的山奥。」于是从此人们称呼这个地方叫「美奥」……这是关于「美奥」的五个物语。在这里，死亡也许是另一种形式的再生，而痛苦和忧伤都将在梦境中消失。日本天才作家恒川光太郎以惊人的想像力，将美奥这个充满奇异魅惑的幻境深刻地留在每个人心中，静谧与骚动交织的氛围，也让这本书仿若一个秘密基地，温暖又迷人！	
1000	圈、叉与三角——王牌，就此展开	要我振臂高挥？行，看我把你击飞！「把水泥随便搅一搅就好了，简称就是懒觉BOY！COMEON！」入学典礼当天在河岸边威风凛凛地叫住我、打扮成捕手一般的男人……是个变态。追寻著白球跑的青春我可是NOTHANK，我梦想中的高中生活可是混水摸鱼的天堂啊～但是这个梦想在一瞬间就破灭了（完）。因为所以──被变态与金鱼的诅咒（？）给搞成一团乱的我和她和偶尔出现的棒球间，懒散的日常生活爱情故事？欢乐揭幕！	校园 恋爱 搞笑 
1001	乘秋千飞翔的圣修伯里	这是一座没有小丑的马戏团。在曾遭受无情天灾袭击，如今已化为灯红酒绿象征的湾岸城市，傲然矗立着一座特技马戏团，成员清一色是经历专属艺校严酷训练的貌美少女。而每一项表演的首席，都拥有以文学家为名的称号：驯兽师「卡夫卡」、默剧演员「恰佩克」、歌姬「安徒生」，以及空中飞人「圣修伯里」……。冠上称号，站上这华美有如梦幻的舞台，是无上的荣耀。名号只能传承，无法共存，当一个闪亮新星升起，也意味另一位新星的殒落——然而，为了站上舞台，成为众人仰望的焦点，无数少女舍弃一切，以性命作为赌注，只为能拥有那以文学家为名的称号，只为在聚光灯之下闪耀一瞬的美丽。一度放弃梦想的少女爱泪，为了守护双胞胎姐姐泪海空中飞人的称号，假扮为「圣修伯里」，站上有如魔物般的舞台。然而，当她站立在聚光灯下，才发现，灯光暗处，竟是无法预测的阴谋与黑幕——属于马戏团少女们独有的美丽、纠结与瞬间的永恒——今晚，也将盛大开演。	
1002	镜家事件系列	镜家三女镜佐奈离奇自杀身亡，佐奈的哥哥，镜家的三男镜公彦却收到妹妹被强暴的录像带，以及强暴犯们女儿的日常作息行程表，之后……与杀了七十七名的连续杀人犯－－刺杀手杰克的视点相连，神秘的观察者，超乎读者想象的荒唐世界，日本新世代的新锐作家佐藤友哉战栗出道作。	
1003	樱花庄的宠物女孩	我所住的宿舍「樱花庄」是学校怪人的聚集地。转学入住这个宿舍的椎名真白，是个清新可爱且世界闻名的天才画家。才决心「一定要保护天才美少女免於宿舍的怪人们所害！」的我，竟然在她进宿舍的隔天发现惊人的事实。真白原来是个出门一定迷路、房间乱七八糟、连内裤都没办法自己选穿的生活白痴少女！被任命为真白「饲主」的我能帮她换衣服吗!?好歹我也是个健全的男子高中生耶!?由变态、天才与凡人所交织出的青春学园恋爱喜剧登场!	恋爱 喜剧 校园 
1004	SHINO双子	「我想要忍以<筱宫诗乃>的身份，去和那个孩子见面」——从出生起便伴随左右的麻烦制造者。那就是筱宫忍的双胞胎妹妹·诗乃。直到初中毕业为止的这十五年间，一直麻烦不断的诗乃。而其最大的受害者，正是身为哥哥的忍。这回，诗乃的请求是扮装成因毕业旅行而不能前往的诗乃（女装）去和在网上认识的同年纪的女生·泽渡花莲见面……。注意着不被看穿身份，却逐渐被散发着女孩子气的花莲所吸引，而花莲却一直在认为自己就是诗乃——。麻烦不断而又充满温馨的双子恋爱喜剧！	搞笑 恋爱 
1005	卡纳克的轨迹	一千年前，在亚连希亚大陆上，有一位名叫玛尔的伟大魔法师。拥有一头红发的她，走遍世界的各个角落，并教导人们〝魔法〞，是一位备受尊崇的女性。一千年后，一名刚毕业于魔法学校的少年，也是虔诚的玛尔信徒——卡纳克，基于某个原因，决定独自前往巡礼她在大陆各地遗留的石碑；然而全校最聪明的魔法天才美少女——优莉叶，不知为何，决定与卡纳克一起踏上旅途。于是一段充满欢笑与泪水的奇妙旅程，就此展开！	冒险 魔法 异界 
1006	我的妹妹会读汉字	『闪亮的天蓝色小裤裤！』是现代日本文学代表作家──大平凯的最新作。为这位小说家作品大受感动的高中生妹背银，带着自己的两位可爱妹妹──看似傲娇实际上却很倾慕哥哥的黑羽，以及既冷静又有点毒舌的幼女实，去大平家中拜访他。然而，银与妹妹们却在那被卷入了难解的神秘现象──	搞笑 奇幻 
1007	不完全神性机关伊莉斯	四分之三个世界，是死亡的世界——就读于宝条军事学校佣兵科的我——贫穷学生「凪」，是个烦恼该如何转系到机械工程科的机械爱好者。某一天，我在废料堆当中发现一具少女外型的女管家（女仆）机器人，于是便立刻带回家里进行维修。「早安，凪。」——醒来的「伊莉斯」对我这么说道。明明是个女管家（女仆）机器人却完全不会做家事，而且真实身分居然还是军用的人型机械体！？不会吧！？——麻烦不断的同居生活＆失控连连的学园生活，然后是实体不明的侵略者「幽幻种」——以人类的最终兵器姿态「神性机关」觉醒的伊莉斯，世界的命运就此寄托在她身上！	科幻 恋爱 校园 冒险 
1008	最近妹妹的样子有点怪	最近，美月处于与因母亲再婚而得到的新哥哥夕哉一起生活的困惑中，而且还被思念着夕哉的幽灵日和附体了，还被迫穿上了H的内裤「T.S.T」！为了让日和成佛，不把和夕哉亲热的能量储存起来不行……而在这之中，又到了学园祭的季节，而又因为日和的原因，不得不与夕哉搭档参加学园祭名物的情侣竞技「LoveQuest」！美月的命运到底会……！？就算是在学园祭上兄妹不xxx（读作啪啪啪）就会死！？大人气兄妹爱恋爱喜剧已轻小说在此呈现！	恋爱 神鬼 
1009	黑之夜魔	过去曾经统领夜幕笼罩之处，名声响彻黑暗世界的一族——夜魔。高夜椋郎身为一族最后的残存者，在日本自古以来的种族·大目天的监视下，以一介平凡高中生的身分度日。尽管偶尔会惹青梅竹马·诗羽琉生气，每天的生活倒也平静安稳。然而某一天，原为家臣的吸血鬼遭到吸血鬼猎人追杀，椋郎也在因缘际会之下被卷入她们的战斗，自此椋郎的「日常」转变为「超常」，于是椋郎就在超异能美少女们的辅佐之下，为了不让诗羽琉发现真相而奔走。另一方面，暗处的人影凝视着那样的椋郎，露出了得意的微笑——「找到你了♪」——为您隆重献上漆黑的学园战斗恋爱喜剧，就此揭开序幕！「——来吧，夜晚才刚开始呢。」	奇幻 校园 爱情 
